"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","eval_acc","sample","regularization"
"BinOCT","soybean-small",23,"2",0,3600,101,0,1,0,641,0.245011806488037,0,0,0,0,1,1,"1",FALSE
"BinOCT","soybean-small",23,"2",0,3600,101,0,1,0,1016,0.321703672409058,0,0,0,0,1,1,"2",FALSE
"BinOCT","soybean-small",23,"2",0,3600,101,0,1,0,170,0.10545015335083,0,0,0,0,1,0.916666666666667,"3",FALSE
"BinOCT","soybean-small",23,"2",0,3600,101,0,1,0,740,0.515454292297363,0,0,0,0,1,1,"4",FALSE
"BinOCT","soybean-small",23,"2",0,3600,101,0,1,0,514,0.668583869934082,0,0,0,0,1,1,"5",FALSE
"BinOCT","soybean-small",23,"3",0,3600,101,0,1,0,488,0.669615745544434,0,0,0,0,1,1,"1",FALSE
"BinOCT","soybean-small",23,"3",0,3600,101,0,1,0,88,0.154504299163818,0,0,0,0,1,1,"2",FALSE
"BinOCT","soybean-small",23,"3",0,3600,101,0,1,0,310,0.236343860626221,0,0,0,0,1,0.916666666666667,"3",FALSE
"BinOCT","soybean-small",23,"3",0,3600,101,0,1,0,460,0.336565732955933,0,0,0,0,1,1,"4",FALSE
"BinOCT","soybean-small",23,"3",0,3600,101,0,1,0,60,0.28002667427063,0,0,0,0,0.916666666666667,0.916666666666667,"5",FALSE
"BinOCT","soybean-small",23,"4",0,3600,101,0,1,0,1769,1.84685158729553,0,0,0,0,0.833333333333333,0.666666666666667,"1",FALSE
"BinOCT","soybean-small",23,"4",0,3600,101,0,1,0,469,0.735051393508911,0,0,0,0,1,1,"2",FALSE
"BinOCT","soybean-small",23,"4",0,3600,101,0,1,0,512,0.774895191192627,0,0,0,0,1,1,"3",FALSE
"BinOCT","soybean-small",23,"4",0,3600,101,0,1,0,499,0.711511850357056,0,0,0,0,0.916666666666667,0.916666666666667,"4",FALSE
"BinOCT","soybean-small",23,"4",0,3600,101,0,1,0,147,1.02626752853394,0,0,0,0,0.916666666666667,1,"5",FALSE
"BinOCT","soybean-small",23,"5",0,3600,101,0,1,0,480,0.951287269592285,0,0,0,0,1,0.916666666666667,"1",FALSE
"BinOCT","soybean-small",23,"5",0,3600,101,0,1,0,515,1.33911848068237,0,0,0,0,0.666666666666667,0.666666666666667,"2",FALSE
"BinOCT","soybean-small",23,"5",0,3600,101,0,1,0,240,0.771243810653687,0,0,0,0,1,0.916666666666667,"3",FALSE
"BinOCT","soybean-small",23,"5",0,3600,101,0,1,0,482,1.81245374679565,0,0,0,0,0.916666666666667,0.833333333333333,"4",FALSE
"BinOCT","soybean-small",23,"5",0,3600,101,0,1,0,135,1.50972414016724,0,0,0,0,0.916666666666667,1,"5",FALSE
"BinOCT","monk3",60,"2",0,3600,101,3,0.95,0,746,0.145389795303345,0,0,0,0,0.935483870967742,0.903225806451613,"1",FALSE
"BinOCT","monk3",60,"2",0,3600,101,3,0.95,0,1575,0.475327730178833,0,0,0,0,0.903225806451613,0.935483870967742,"2",FALSE
"BinOCT","monk3",60,"2",0,3600,101,4,0.933333333333333,0,794,0.18876314163208,0,0,0,0,0.935483870967742,0.935483870967742,"3",FALSE
"BinOCT","monk3",60,"2",0,3600,101,3.999999998,0.933333333333333,0,2120,0.50568699836731,0,0,0,0,0.935483870967742,0.935483870967742,"4",FALSE
"BinOCT","monk3",60,"2",0,3600,101,4,0.933333333333333,0,802,0.262146472930908,0,0,0,0,0.903225806451613,0.967741935483871,"5",FALSE
"BinOCT","monk3",60,"3",0,3600,102,1,0.983333333333333,6.00002039103882e-08,40132,16.997225522995,0,0,0,0,0.903225806451613,0.935483870967742,"1",FALSE
"BinOCT","monk3",60,"3",0,3600,101,1,0.983333333333333,0,50458,24.9747138023376,0,0,0,0,0.838709677419355,0.806451612903226,"2",FALSE
"BinOCT","monk3",60,"3",0,3600,101,2.00000000000001,0.966666666666667,0,157433,75.9902973175049,0,0,0,0,0.967741935483871,0.838709677419355,"3",FALSE
"BinOCT","monk3",60,"3",0,3600,101,0,1,0,58329,22.5870368480682,0,0,0,0,0.838709677419355,0.838709677419355,"4",FALSE
"BinOCT","monk3",60,"3",0,3600,101,2,0.966666666666667,0,44360,20.1647872924805,0,0,0,0,0.806451612903226,0.774193548387097,"5",FALSE
"BinOCT","monk3",60,"4",0,3600,101,0,1,0,826694,518.468495130539,0,0,0,0,0.903225806451613,0.870967741935484,"1",FALSE
"BinOCT","monk3",60,"4",0,3600,101,0,1,0,2157048,2160.71956682205,0,0,0,0,0.903225806451613,0.838709677419355,"2",FALSE
"BinOCT","monk3",60,"4",0,3600,101,0,1,0,919334,503.863423347473,0,0,0,0,0.741935483870968,0.741935483870968,"3",FALSE
"BinOCT","monk3",60,"4",0,3600,101,0,1,0,2126,4.80701851844788,0,0,0,0,0.838709677419355,0.838709677419355,"4",FALSE
"BinOCT","monk3",60,"4",0,3600,101,0,1,0,129193,70.8650145530701,0,0,0,0,0.774193548387097,0.580645161290323,"5",FALSE
"BinOCT","monk3",60,"5",0,3600,101,0,1,0,26924,28.7577056884766,0,0,0,0,0.870967741935484,0.806451612903226,"1",FALSE
"BinOCT","monk3",60,"5",0,3600,101,0,1,0,3247,7.15293622016907,0,0,0,0,0.838709677419355,0.935483870967742,"2",FALSE
"BinOCT","monk3",60,"5",0,3600,101,0,1,0,100788,97.4834427833557,0,0,0,0,0.838709677419355,0.806451612903226,"3",FALSE
"BinOCT","monk3",60,"5",0,3600,101,0,1,0,363934,325.207125425339,0,0,0,0,0.806451612903226,0.870967741935484,"4",FALSE
"BinOCT","monk3",60,"5",0,3600,101,0,1,0,326163,322.94863152504,0,0,0,0,0.806451612903226,0.67741935483871,"5",FALSE
"BinOCT","monk1",62,"2",0,3600,101,9,0.854838709677419,0,2388,2.38689398765564,0,0,0,0,0.774193548387097,0.741935483870968,"1",FALSE
"BinOCT","monk1",62,"2",0,3600,101,5.999999997,0.903225806451613,0,1157,0.308691263198853,0,0,0,0,0.645161290322581,0.838709677419355,"2",FALSE
"BinOCT","monk1",62,"2",0,3600,101,11.999999997,0.806451612903226,0,3429,2.62801814079285,0,0,0,0,0.806451612903226,0.870967741935484,"3",FALSE
"BinOCT","monk1",62,"2",0,3600,101,8,0.870967741935484,0,1998,0.551728963851929,0,0,0,0,0.903225806451613,0.645161290322581,"4",FALSE
"BinOCT","monk1",62,"2",0,3600,101,9,0.854838709677419,0,3783,1.53183841705322,0,0,0,0,0.806451612903226,0.774193548387097,"5",FALSE
"BinOCT","monk1",62,"3",0,3600,101,3,0.951612903225806,0,79983,31.8725271224976,0,0,0,0,0.870967741935484,0.806451612903226,"1",FALSE
"BinOCT","monk1",62,"3",0,3600,101,0.999999999,0.983870967741935,0,46958,16.6095833778381,0,0,0,0,0.774193548387097,0.903225806451613,"2",FALSE
"BinOCT","monk1",62,"3",0,3600,101,5,0.919354838709677,0,233155,91.4224729537964,0,0,0,0,0.903225806451613,0.935483870967742,"3",FALSE
"BinOCT","monk1",62,"3",0,3600,101,2,0.967741935483871,0,121845,49.3978383541107,0,0,0,0,0.838709677419355,0.774193548387097,"4",FALSE
"BinOCT","monk1",62,"3",0,3600,101,3,0.951612903225806,0,106306,34.3993411064148,0,0,0,0,0.870967741935484,0.806451612903226,"5",FALSE
"BinOCT","monk1",62,"4",0,3600,101,0,1,0,4072,6.24034214019775,0,0,0,0,0.967741935483871,0.935483870967742,"1",FALSE
"BinOCT","monk1",62,"4",0,3600,101,0,1,0,12315,9.4093644618988,0,0,0,0,0.741935483870968,0.838709677419355,"2",FALSE
"BinOCT","monk1",62,"4",0,3600,101,0,1,0,2309,4.44923114776611,0,0,0,0,1,1,"3",FALSE
"BinOCT","monk1",62,"4",0,3600,101,0,1,0,439367,289.555653095245,0,0,0,0,1,1,"4",FALSE
"BinOCT","monk1",62,"4",0,3600,101,0,1,0,466,1.02499008178711,0,0,0,0,0.967741935483871,0.967741935483871,"5",FALSE
"BinOCT","monk1",62,"5",0,3600,101,0,1,0,1020,2.32947611808777,0,0,0,0,0.935483870967742,0.806451612903226,"1",FALSE
"BinOCT","monk1",62,"5",0,3600,101,0,1,0,1772,4.7933201789856,0,0,0,0,0.741935483870968,0.838709677419355,"2",FALSE
"BinOCT","monk1",62,"5",0,3600,101,0,1,0,2941,6.82645893096924,0,0,0,0,1,1,"3",FALSE
"BinOCT","monk1",62,"5",0,3600,101,0,1,0,2380,7.97667765617371,0,0,0,0,0.838709677419355,0.838709677419355,"4",FALSE
"BinOCT","monk1",62,"5",0,3600,101,0,1,0,864,4.14089465141296,0,0,0,0,1,1,"5",FALSE
"BinOCT","hayes-roth",66,"2",0,3600,101,24,0.636363636363636,0,15197,6.16820049285889,0,0,0,0,0.454545454545455,0.484848484848485,"1",FALSE
